09:00:13: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 48] Logger initialized
09:00:20: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (4.0, 1.3333333333333333, 0.13333333333333333)
09:00:21: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (3.75, 0.0, 0.125)
09:00:21: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (2.3529411764705883, 0.0, 0.11764705882352941)
09:00:22: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (1.1111111111111112, 0.0, 0.1111111111111111)
09:00:22: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (0.0, 0.0, 0.10526315789473684)
09:00:23: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (0.0, 1.0, 0.1)
09:00:23: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (0.0, 1.9047619047619047, 0.09523809523809523)
09:00:24: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (0.0, 2.727272727272727, 0.09090909090909091)
09:00:24: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (0.8695652173913043, 2.608695652173913, 0.08695652173913043)
09:00:25: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (1.6666666666666667, 2.5, 0.08333333333333333)
09:00:25: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (2.4, 2.4, 0.08)
09:00:26: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693)
09:00:26: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407)
09:00:27: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (2.142857142857143, 0.0, 0.07142857142857142)
09:00:27: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (1.3793103448275863, 0.0, 0.06896551724137931)
09:00:28: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (0.6666666666666666, 0.0, 0.06666666666666667)
09:00:28: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (0.0, 0.0, 0.06451612903225806)
